file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\core\extension\attachment\endpoint\AttachmentHandler.java,run.halo.app.core.extension.attachment.endpoint.AttachmentHandler$UploadContext,interface,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\security\authentication\jwt\LoginAuthenticationConverter.java,run.halo.app.security.authentication.jwt.LoginAuthenticationConverter,class,6,7,1,6,2,1,0,6,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,0,0,0,0,1,0,2,0,0,1,1,11,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\security\authentication\login\LoginAuthenticationConverterTest.java,run.halo.app.security.authentication.login.LoginAuthenticationConverterTest,class,13,13,0,13,4,1,0,20,0,0.1875,1.0,1.0,4,0,0,0,0,4,4,0,0,0,4,0,0,0,0,4,0,0,2,40,0,0,0,0,0,14,0,8,0,12,1,0,0,2,46,0,1
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\security\authentication\pat\PersonalAccessToken.java,run.halo.app.security.authentication.pat.PersonalAccessToken$PersonalAccessTokenSpec,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,15,9,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\theme\router\factories\TagPostRouteFactoryTest.java,run.halo.app.theme.router.factories.TagPostRouteFactoryTest,class,13,13,0,13,1,2,0,24,0,0.25,NaN,NaN,1,0,0,0,0,1,1,0,0,0,4,0,0,3,0,1,0,0,0,20,0,0,0,0,0,6,0,2,0,6,0,0,0,0,26,0,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\core\extension\AuthProvider.java,run.halo.app.core.extension.AuthProvider,class,7,8,1,7,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,2,0,0,24,0,0,0,0,0,7,0,2,0,3,0,0,3,0,31,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\content\comment\SinglePageCommentSubject.java,run.halo.app.content.comment.SinglePageCommentSubject,class,7,8,1,7,3,1,0,7,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,14,2,0,0,0,0,1,0,2,0,2,0,0,0,0,22,1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\core\extension\reconciler\MenuItemReconcilerTest.java,run.halo.app.core.extension.reconciler.MenuItemReconcilerTest$WhenSinglePageRefSet,innerclass,11,11,0,11,2,1,0,29,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,30,2,0,0,0,0,12,2,7,0,9,1,0,0,3,31,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\security\authentication\login\UsernamePasswordAuthenticator.java,run.halo.app.security.authentication.login.UsernamePasswordAuthenticator$UsernamePasswordAuthenticationWebFilter,innerclass,8,8,0,8,2,2,0,7,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,22,2,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\theme\DefaultTemplateEnum.java,run.halo.app.theme.DefaultTemplateEnum,enum,1,8,7,1,5,1,0,3,1,0.33333334,0.33333334,0.33333334,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,16,3,1,0,0,0,9,0,1,0,1,2,0,0,0,33,1,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\core\extension\content\Comment.java,run.halo.app.core.extension.content.Comment$CommentOwner,innerclass,4,4,0,4,2,1,0,1,0,0.85714287,NaN,NaN,1,0,1,0,0,0,1,0,0,0,7,3,3,4,0,0,3,0,0,12,1,0,1,0,0,3,2,3,0,7,0,0,0,0,28,9,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\config\ServerCodecTest.java,run.halo.app.config.ServerCodecTest$TestConfig$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\core\extension\reconciler\PostReconcilerTest.java,run.halo.app.core.extension.reconciler.PostReconcilerTest$LastModifyTimeTest,innerclass,8,8,0,8,2,1,0,40,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,9,36,0,0,0,0,0,11,2,10,0,10,0,0,0,0,35,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\test\java\run\halo\app\theme\finders\impl\PluginFinderImplTest.java,run.halo.app.theme.finders.impl.PluginFinderImplTest,class,8,8,0,8,1,1,0,10,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,17,0,0,0,0,0,4,0,4,0,4,0,0,0,0,18,0,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\infra\SchemeInitializer.java,run.halo.app.infra.SchemeInitializer,class,37,37,0,37,2,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,41,0,0,0,0,0,0,0,2,0,2,0,0,0,0,11,1,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\infra\ConditionList.java,run.halo.app.infra.ConditionList,class,3,11,8,3,23,2,0,21,0,0.56666666,0.72527474,0.72527474,15,0,14,1,0,0,14,0,0,0,2,1,0,2,0,0,2,0,6,70,17,1,5,0,0,0,1,4,0,4,1,0,0,0,89,1,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\extension\JsonExtension.java,run.halo.app.extension.JsonExtension$ObjectNodeMetadata$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\infra\exception\ThemeUninstallException.java,run.halo.app.infra.exception.ThemeUninstallException,class,0,1,1,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\extension\JsonExtension.java,run.halo.app.extension.JsonExtension$ObjectNodeMetadata$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\USER\Downloads\halo-main\halo-main\api\src\main\java\run\halo\app\extension\JsonExtension.java,run.halo.app.extension.JsonExtension$ObjectNodeMetadata$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\USER\Downloads\halo-main\halo-main\application\src\main\java\run\halo\app\plugin\resources\ReverseProxyRouterFunctionRegistry.java,run.halo.app.plugin.resources.ReverseProxyRouterFunctionRegistry,class,7,10,3,7,8,1,0,19,0,0.42857143,0.6666667,1.0,7,0,6,0,1,0,7,0,0,0,4,0,0,4,0,0,4,0,1,72,7,1,0,5,0,2,0,12,0,13,2,0,0,1,42,1,0
